time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag,roll_mean_delta_m_per_s,roll_std_delta_m_per_s,zscore_win_delta_m_per_s,edge_flag_win
1760375228881219921,2025-10-13T17:07:08.881Z,0.497,0.197,-0.040262,-0.82585,0,-0.002855299999999996,0.039484003657844095,-0.9473887279556209,0
1760375228979119706,2025-10-13T17:07:08.979Z,0.497,0.197,0.0,0.075258,0,-0.005852649999999997,0.03663840813635063,0.15974083748997045,0
1760375229079764664,2025-10-13T17:07:09.079Z,0.498,0.198,0.009936,0.263836,0,-0.006353599999999997,0.03633420435550203,0.4483268668998194,0
1760375229181504311,2025-10-13T17:07:09.181Z,0.505,0.205,0.068813,1.660169,0,-0.004388749999999997,0.039316188280837,1.8618730146757148,0
1760375229280233171,2025-10-13T17:07:09.280Z,0.508,0.208,0.030382,0.755431,0,-0.0019378999999999963,0.03990475941789418,0.8099259454627118,0
1760375229381277657,2025-10-13T17:07:09.381Z,0.507,0.207,-0.009901,-0.139101,0,-0.004583749999999996,0.03849672170030933,-0.1381221508001103,0
1760375229480647957,2025-10-13T17:07:09.480Z,0.51,0.21,0.030179,0.776439,0,-0.001100049999999996,0.038323336403588946,0.8161880706469685,0
1760375229580461747,2025-10-13T17:07:09.580Z,0.505,0.205,-0.05009,-1.065851,0,-0.0015671999999999965,0.03888488687828288,-1.247857558436151,0
1760375229682599235,2025-10-13T17:07:09.682Z,0.505,0.205,0.0,0.002464,0,-0.0020644499999999963,0.03879340308741482,0.05321652228725805,0
1760375229783808949,2025-10-13T17:07:09.783Z,0.5,0.2,-0.049399,-1.256936,0,-0.002132199999999996,0.03887901825108802,-1.2157405748967762,0
1760375229882461941,2025-10-13T17:07:09.882Z,0.498,0.198,-0.020273,-0.578809,0,-0.001141699999999996,0.038105937334171475,-0.5020556201577548,0
1760375229982911728,2025-10-13T17:07:09.982Z,0.493,0.193,-0.049777,-1.142397,0,-0.0027041499999999963,0.039472489234209075,-1.1925483016967684,0
1760375230080383867,2025-10-13T17:07:10.080Z,0.498,0.198,0.051296,1.172739,0,-0.0029564499999999963,0.039089483028283134,1.3879040037635118,0
1760375230181652331,2025-10-13T17:07:10.181Z,0.499,0.199,0.009879,0.425662,0,-0.004417349999999996,0.03796489897437138,0.37656757653038675,0
1760375230282403371,2025-10-13T17:07:10.282Z,0.504,0.204,0.049612,1.360853,0,-0.003969999999999996,0.03857193380248354,1.3891447671350614,0
1760375230379642140,2025-10-13T17:07:10.379Z,0.505,0.205,0.010282,0.342433,0,-0.002444499999999996,0.0384983536237182,0.33057257784030036,0
1760375230480399707,2025-10-13T17:07:10.480Z,0.51,0.21,0.049624,1.154412,0,-0.000940299999999996,0.0399624162262759,1.2652963653071907,0
1760375230583658435,2025-10-13T17:07:10.583Z,0.509,0.209,-0.009689,-0.364145,0,-0.001424749999999996,0.040009118206617185,-0.20655916377165154,0
1760375230681638803,2025-10-13T17:07:10.681Z,0.498,0.198,-0.112212,-2.102402,0,-0.0035787499999999964,0.04472760244774694,-2.428774270360476,0
1760375230781685489,2025-10-13T17:07:10.781Z,0.499,0.199,0.009996,0.306919,0,-0.0010801999999999969,0.04397687297420643,0.25186420158833195,0
1760375230880854871,2025-10-13T17:07:10.880Z,0.494,0.194,-0.050419,-0.885175,0,-0.0015880499999999967,0.04450859602188647,-1.0971127908862386,0
1760375230982528507,2025-10-13T17:07:10.982Z,0.496,0.196,0.019671,0.425295,0,-0.0006044999999999968,0.04476215810669136,0.4529607341914347,0
1760375231083047939,2025-10-13T17:07:11.083Z,0.508,0.208,0.119407,1.781701,0,0.004869050000000003,0.05219489195059441,2.194428338091341,0
1760375231182262653,2025-10-13T17:07:11.182Z,0.507,0.207,-0.010077,-0.285722,0,0.0009245500000000034,0.050044823189317134,-0.21983392684557349,0
1760375231283789686,2025-10-13T17:07:11.283Z,0.499,0.199,-0.078796,-1.123774,0,-0.004534349999999997,0.05255415010932221,-1.4130501558016302,0
1760375231380383565,2025-10-13T17:07:11.380Z,0.486,0.186,-0.134583,-1.497326,0,-0.010768449999999997,0.060080387183799655,-2.0608147817227436,0
1760375231481768066,2025-10-13T17:07:11.481Z,0.463,0.163,-0.226859,-1.864316,0,-0.023620349999999995,0.0761917287348693,-2.6674634290977495,0
1760375231583880513,2025-10-13T17:07:11.583Z,0.462,0.162,-0.009793,0.390256,0,-0.0216055,0.07598745459163508,0.1554532924346745,0
1760375231681262306,2025-10-13T17:07:11.681Z,0.462,0.162,0.0,0.465782,0,-0.0216055,0.07598745459163508,0.2843298293923691,0
1760375231781261858,2025-10-13T17:07:11.781Z,0.462,0.162,0.0,0.364221,0,-0.019135549999999998,0.07583919198539357,0.25231742980180294,0
1760375231881119099,2025-10-13T17:07:11.881Z,0.465,0.165,0.030043,0.61561,0,-0.016619749999999996,0.07662991334766775,0.608936483958848,0
1760375231981029990,2025-10-13T17:07:11.981Z,0.47,0.17,0.050045,0.763693,0,-0.011628649999999997,0.0776013065728821,0.794750149497508,0
1760375232079516189,2025-10-13T17:07:12.079Z,0.476,0.176,0.060922,0.816753,0,-0.011147349999999997,0.0780407265803366,0.9234838418093204,0
1760375232180697944,2025-10-13T17:07:12.180Z,0.499,0.199,0.227318,2.035731,0,-0.00027539999999999786,0.09452829565763288,2.407674849278027,0
1760375232282484351,2025-10-13T17:07:12.282Z,0.543,0.243,0.432303,2.272878,0,0.01885915,0.13515859579194367,3.0589534285812987,0
1760375232379718007,2025-10-13T17:07:12.379Z,0.568,0.268,0.2571,1.05803,0,0.03120005,0.14522727255163492,1.555492615339741,0
1760375232481461791,2025-10-13T17:07:12.481Z,0.574,0.274,0.058972,-0.122167,0,0.03166745,0.14530471126149644,0.18791235165707454,0
1760375232581599370,2025-10-13T17:07:12.581Z,0.571,0.271,-0.02996,-0.880648,0,0.030653900000000005,0.14567858711737905,-0.41607968061332834,0
1760375232680586149,2025-10-13T17:07:12.680Z,0.541,0.241,-0.303072,-1.994608,0,0.021110900000000002,0.16097788310229064,-2.0138350297102834,0
1760375232783891467,2025-10-13T17:07:12.783Z,0.505,0.205,-0.348462,-1.645865,0,0.003188000000000002,0.18099137499630372,-1.9429102630287303,0
1760375232882703685,2025-10-13T17:07:12.882Z,0.471,0.171,-0.34409,-1.306567,0,-0.011495549999999998,0.1967921485196942,-1.6900798761629212,0
1760375232983277391,2025-10-13T17:07:12.983Z,0.444,0.144,-0.268458,-0.86423,0,-0.025901999999999998,0.20477500817649652,-1.184500013746501,0
1760375233080634030,2025-10-13T17:07:13.080Z,0.428,0.128,-0.164344,-0.411388,0,-0.040089549999999995,0.2040058082097497,-0.6090730998807989,0
1760375233180913858,2025-10-13T17:07:13.180Z,0.418,0.118,-0.099721,-0.07072,0,-0.04457175,0.20429627353400648,-0.26994741042508563,0
1760375233280733154,2025-10-13T17:07:13.280Z,0.417,0.117,-0.010018,0.255563,0,-0.04113284999999999,0.20426872418259936,0.15232312300627035,0
1760375233380759570,2025-10-13T17:07:13.380Z,0.424,0.124,0.069983,1.301884,0,-0.030904549999999992,0.20446463612295432,0.49342297970457594,0
1760375233481748393,2025-10-13T17:07:13.481Z,0.428,0.128,0.039608,1.146681,0,-0.017581199999999998,0.1996488497866086,0.28644893301977814,0
1760375233580469422,2025-10-13T17:07:13.580Z,0.44,0.14,0.121557,1.402513,0,-0.011013699999999996,0.20206431267976882,0.6560817110248349,0
1760375233678259870,2025-10-13T17:07:13.678Z,0.444,0.144,0.040919,0.874923,0,-0.008967749999999997,0.20238859550636615,0.2464899263478055,0
1760375233777995819,2025-10-13T17:07:13.778Z,0.45,0.15,0.060136,0.819221,0,-0.005960949999999997,0.2029746962488506,0.32564132978902927,0
1760375233877309334,2025-10-13T17:07:13.877Z,0.454,0.154,0.040277,0.571742,0,-0.005449249999999997,0.20308311053356173,0.22516027984731515,0
1760375233978599511,2025-10-13T17:07:13.978Z,0.453,0.153,-0.009872,0.055933,0,-0.008445099999999997,0.20266288997479745,-0.007040756204441023,0
1760375234078995666,2025-10-13T17:07:14.079Z,0.447,0.147,-0.059764,-0.752022,0,-0.014479399999999995,0.20228513901900172,-0.22386518465771318,0
1760375234177798095,2025-10-13T17:07:14.177Z,0.449,0.149,0.020243,0.013721,0,-0.024833149999999995,0.19440353195900073,0.23186898687368732,0
1760375234278063147,2025-10-13T17:07:14.278Z,0.447,0.147,-0.019948,-0.93336,0,-0.04744569999999999,0.1620405713050057,0.1696963900987588,0
1760375234380579733,2025-10-13T17:07:14.380Z,0.439,0.139,-0.078034,-1.68638,0,-0.06420239999999999,0.14535937480653724,-0.09515450942471972,0
1760375234478600596,2025-10-13T17:07:14.478Z,0.437,0.137,-0.020404,-0.57194,0,-0.0681712,0.1428817966744024,0.33431270540957303,0
1760375234579842723,2025-10-13T17:07:14.579Z,0.434,0.134,-0.029633,-0.617968,0,-0.06815485,0.1428864179587465,0.26959770249907067,0
1760375234680702340,2025-10-13T17:07:14.680Z,0.437,0.137,0.029744,0.826303,0,-0.05151405,0.13313503894027656,0.6103430820826348,0
1760375234778907264,2025-10-13T17:07:14.778Z,0.437,0.137,0.0,0.338526,0,-0.034090949999999995,0.11359627434238792,0.30010623321366375,0
1760375234879673036,2025-10-13T17:07:14.879Z,0.437,0.137,0.0,0.504671,0,-0.01688644999999999,0.08715414137303551,0.19375384501492507,0
1760375234979736169,2025-10-13T17:07:14.979Z,0.433,0.133,-0.039975,-0.596054,0,-0.005462299999999994,0.06446363933020492,-0.5353824319972703,0
